round,file,fitness,instructions,normalized_fitness
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_50.S,0.85,17,0.0317519611505416
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_5.S,0.85,21,0.0317519611505416
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_76.S,0.85,39,0.0317519611505416
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_47.S,0.85,46,0.0317519611505416
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_4.S,0.85,49,0.0317519611505416
6,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_83.S,0.85,33,0.0317519611505416
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_81.S,0.9,35,0.0280548628428927
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.0280548628428927
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_3.S,0.86,170,0.0268079800498753
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_59.S,0.86,112,0.0268079800498753
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_26.S,0.86,131,0.0268079800498753
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_99.S,0.85,20,0.0264962593516209
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_86.S,0.85,47,0.0264962593516209
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_61.S,0.85,53,0.0264962593516209
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_60.S,0.85,27,0.0264962593516209
7,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_4.S,0.85,49,0.0264962593516209
8,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.9,42,0.0248002204464039
8,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.0248002204464039
8,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_81.S,0.9,35,0.0248002204464039
8,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_26.S,0.86,131,0.0236979884265637
8,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_59.S,0.86,112,0.0236979884265637
8,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_3.S,0.86,170,0.0236979884265637
8,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_21.S,0.86,122,0.0236979884265637
8,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_99.S,0.85,20,0.0234224304216037
8,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_42.S,0.85,41,0.0234224304216037
8,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_34.S,0.85,22,0.0234224304216037
9,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.9,67,0.02073732718894
9,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_49.S,0.9,20,0.02073732718894
9,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.9,42,0.02073732718894
9,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_81.S,0.9,35,0.02073732718894
9,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.02073732718894
9,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_3.S,0.86,170,0.0198156682027649
9,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_26.S,0.86,131,0.0198156682027649
9,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_21.S,0.86,122,0.0198156682027649
9,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_59.S,0.86,112,0.0198156682027649
9,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_5.S,0.85,21,0.0195852534562211
10,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0209774089442139
10,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_39.S,0.9,53,0.0207468879668049
10,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_56.S,0.9,27,0.0207468879668049
10,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_81.S,0.9,35,0.0207468879668049
10,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.9,67,0.0207468879668049
10,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_25.S,0.9,77,0.0207468879668049
10,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_49.S,0.9,20,0.0207468879668049
10,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.0207468879668049
10,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.9,42,0.0207468879668049
10,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_3.S,0.86,170,0.0198248040571692
11,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0195195195195195
11,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.0193050193050193
11,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_56.S,0.9,27,0.0193050193050193
11,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_77.S,0.9,61,0.0193050193050193
11,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.9,67,0.0193050193050193
11,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_49.S,0.9,20,0.0193050193050193
11,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_25.S,0.9,77,0.0193050193050193
11,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_39.S,0.9,53,0.0193050193050193
11,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.9,42,0.0193050193050193
11,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_81.S,0.9,35,0.0193050193050193
12,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0183949868607236
12,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_77.S,0.9,61,0.0181928441479684
12,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_2.S,0.9,47,0.0181928441479684
12,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.9,67,0.0181928441479684
12,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_56.S,0.9,27,0.0181928441479684
12,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_39.S,0.9,53,0.0181928441479684
12,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.9,42,0.0181928441479684
12,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_70.S,0.9,98,0.0181928441479684
12,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_25.S,0.9,77,0.0181928441479684
12,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.0181928441479684
13,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.016063548102383
13,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.016063548102383
13,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_70.S,0.9,98,0.0158870255957634
13,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_92.S,0.9,45,0.0158870255957634
13,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_39.S,0.9,53,0.0158870255957634
13,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.9,42,0.0158870255957634
13,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_49.S,0.9,20,0.0158870255957634
13,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_56.S,0.9,27,0.0158870255957634
13,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.9,67,0.0158870255957634
13,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.0158870255957634
14,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0185790118415679
14,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.0185790118415679
14,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.9,67,0.018374846876276
14,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.018374846876276
14,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_81.S,0.9,35,0.018374846876276
14,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_70.S,0.9,98,0.018374846876276
14,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_56.S,0.9,27,0.018374846876276
14,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_49.S,0.9,20,0.018374846876276
14,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_39.S,0.9,53,0.018374846876276
14,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.9,42,0.018374846876276
15,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.0173531655225019
15,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0173531655225019
15,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.9,67,0.017162471395881
15,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_2.S,0.9,47,0.017162471395881
15,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_39.S,0.9,53,0.017162471395881
15,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.9,42,0.017162471395881
15,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_49.S,0.9,20,0.017162471395881
15,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_92.S,0.9,45,0.017162471395881
15,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_52.S,0.9,75,0.017162471395881
15,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_56.S,0.9,27,0.017162471395881
16,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.0168207024029574
16,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0168207024029574
16,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.91,103,0.0168207024029574
16,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_25.S,0.9,77,0.0166358595194085
16,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_70.S,0.9,98,0.0166358595194085
16,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_52.S,0.9,75,0.0166358595194085
16,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.0166358595194085
16,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_49.S,0.9,20,0.0166358595194085
16,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_56.S,0.9,27,0.0166358595194085
16,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_2.S,0.9,47,0.0166358595194085
17,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.0171116961263632
17,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.91,103,0.0171116961263632
17,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0171116961263632
17,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_54.S,0.9,48,0.01692365550959
17,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_70.S,0.9,98,0.01692365550959
17,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_25.S,0.9,77,0.01692365550959
17,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.01692365550959
17,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_77.S,0.9,61,0.01692365550959
17,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_2.S,0.9,47,0.01692365550959
17,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_81.S,0.9,35,0.01692365550959
18,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.0166270783847981
